targetid,survey,program,spectype,zwarn,zcat_primary,source_id,gaia_ra,gaia_dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,param,feh,alphafe,log10micro,teff,logg,tipo_fgk,parallax_snr
39627700175900211,main,bright,STAR,0,t,2448016567130875136,359.38301762594784,-3.773068122576397,1.5133186643561969,0.067536,10.615850726464732,-6.447521810567467,16.395077,17.124748,15.564483,[-6.8853e-01  1.8393e-01  1.4988e-01  4.3941e+03  4.6639e+00],-0.68853,0.18393,0.14988,4394.1,4.6639,K,22.407585056209975
39627612263285558,main,bright,STAR,0,t,5745606626372311296,139.24567885924358,-7.259123323054119,1.2327064615027226,0.055069,-2.048885198734202,-17.96297057706898,16.441067,17.040247,15.700336,[-7.8382e-01  2.9806e-01  2.9829e-01  4.6140e+03  4.7249e+00],-0.78382,0.29806,0.29829,4614.0,4.7249,K,22.384762053110144
39628016665498818,main,bright,STAR,0,t,3732730586324123008,197.19023264594352,9.59724660967614,1.417128361296622,0.063533,-9.671693738752532,-6.497927021551082,16.670597,17.473446,15.801014,[-2.3576e-01  1.4944e-01         nan  4.1836e+03  4.4643e+00],-0.23576,0.14944,,4183.6,4.4643,K,22.305390290032296
39633500361458746,main,bright,STAR,0,t,2262760501505825152,288.3652083267284,71.18797508586006,1.436977459246385,0.06451,4.334680540864374,10.353421788285488,17.200323,18.113953,16.249266,[-2.9030e-01  6.5115e-02         nan  4.1227e+03  4.2255e+00],-0.2903,0.065115,,4122.7,4.2255,K,22.275266768661993
39627862763899320,main,bright,STAR,0,t,2683679086198522240,331.3559064221121,3.116253497777906,1.7763512588417385,0.079902,-7.981120361998504,-17.658847465073453,16.867111,17.819092,15.894018,[-3.2029e-01  4.7672e-04  6.1548e-02  4.1242e+03  4.9968e+00],-0.32029,0.00047672,0.061548,4124.2,4.9968,K,22.231624475504223
39627618764457902,main,bright,STAR,0,t,3783977788206414976,169.52273125015896,-6.997445859308282,1.2890814163915312,0.058034,-35.510352754731336,13.488821018600662,16.547733,17.217968,15.764395,[-1.6074e-01  7.8077e-02         nan  4.5119e+03  4.6611e+00],-0.16074,0.078077,,4511.9,4.6611,K,22.212520529198937
39627736708290109,main,bright,STAR,0,t,2532079037141201920,17.928382449322743,-2.031553499123929,1.6051865075764995,0.072277,-0.1260839610088139,-13.462087593157037,16.719254,17.668386,15.751553,[1.9717e-02 9.6252e-02        nan 4.0502e+03 4.3455e+00],0.019717,0.096252,,4050.2,4.3455,K,22.20881480383109
39633072785721956,main,bright,STAR,0,t,1488544478344650752,221.75782132723404,39.74337028554096,1.0852336159968097,0.049073,-19.67503033589092,1.75567816916326,16.788952,17.566095,15.934463,[ 3.9828e-01 -3.5669e-02         nan  4.3374e+03  4.5454e+00],0.39828,-0.035669,,4337.4,4.5454,K,22.114678458557858
39633304428742341,main,bright,STAR,0,t,1563376758694519296,201.6219143370137,53.77561090542331,1.5241534863680863,0.069023,11.015603448323445,-5.972042033273965,17.538282,18.55307,16.543173,[-6.1639e-01  1.5881e-01  1.8113e-01  4.0645e+03  4.9532e+00],-0.61639,0.15881,0.18113,4064.5,4.9532,K,22.0818203550713
39627764466190495,main,bright,STAR,0,t,4416917124229837824,232.3642395459713,-0.8850471713588193,1.9484350282824567,0.088411,1.6860432440227568,0.1105660967195085,17.17096,18.201378,16.15555,[-6.4620e-01  1.4504e-01  2.8257e-01  4.0519e+03  4.6451e+00],-0.6462,0.14504,0.28257,4051.9,4.6451,K,22.038377897348255
39633267581781688,main,bright,STAR,0,t,1558993035898510080,207.27486116913377,51.23613590958475,1.151494367011719,0.05229,-1.0920320127416383,-15.657075584427323,17.016577,17.829803,16.137781,[-5.0434e-02  1.1382e-01         nan  4.2060e+03  4.3270e+00],-0.050434,0.11382,,4206.0,4.327,K,22.021311283452267
39633203748669356,main,bright,STAR,0,t,833443974363595520,157.75549652739386,47.18180404044199,1.571485142910953,0.07164,-17.161040146376198,-16.143769395296374,16.872866,17.71602,15.961056,[-3.2986e-01  2.1665e-01         nan  4.0138e+03  4.1535e+00],-0.32986,0.21665,,4013.8,4.1535,K,21.935861849678297
39627885308281485,main,bright,STAR,0,t,4424501074403350912,236.8567091485108,3.9988794179477134,1.134176591733779,0.051714,4.928805121975926,1.6258877886165308,16.286047,16.852243,15.576614,[-3.5611e-01  6.5855e-02         nan  4.9868e+03  4.9960e+00],-0.35611,0.065855,,4986.8,4.996,K,21.931712722546678
