targetid,survey,program,spectype,zwarn,zcat_primary,source_id,gaia_ra,gaia_dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,feh,alphafe,log10micro,teff,logg,clase_aprox,parallax_snr
39628182474719776,main,bright,STAR,0,t,4546329436662243584,255.82132550512577,16.390705927234023,4.519689144409586,1.296126,-13.990044736290711,-6.044416691083413,20.821218,20.700241,18.912264,-10.0,,,33919.0,7.9244,O,3.4870754420554686
39636985807113410,main,bright,STAR,0,t,2816982978302233344,346.0729175403385,16.708312076891822,1.682041973723985,0.483691,27.38823473008341,10.21765445146136,19.561071,19.664333,19.575714,-10.0,,,32342.0,7.8484,O,3.477513482210719
39627773798516548,main,bright,STAR,0,t,3230291873084258304,68.57597706764761,-0.5836186631296364,1.5173107419392546,0.436622,17.37546299929095,-11.859910900428154,19.91717,19.878988,19.978006,-10.0,,,33239.0,8.9997,O,3.475112893851557
39633158072698910,main,bright,STAR,0,t,1493799899110699648,220.02855605879125,44.57987563255773,1.4105611155487838,0.406389,-7.206297567313819,-1.5162805998611448,20.121136,20.176132,20.03089,-10.0,,,39956.0,7.287,O,3.4709628349900803
39627880686157905,main,bright,STAR,0,t,2692835024466105088,320.946589101396,3.802764324484503,1.682699352875093,0.485321,0.0587012834515454,-4.420189538294088,19.604729,19.67522,19.597507,-10.0,,,39942.0,7.0524,O,3.467188423486915
39633110131807164,main,bright,STAR,0,t,2113075810293996288,273.7995070312099,41.69001015266675,2.3227186869488645,0.670797,-9.63822610843345,-17.301679632337716,20.384958,20.48938,,-10.0,,,39989.0,7.0022,O,3.4626253351593173
39627799941614493,main,dark,STAR,0,t,3696783492467935744,186.9022163677104,0.4202672694846808,3.8847740412284657,1.125026,5.388374387981219,-5.821964543536258,20.753202,21.848648,19.284908,-10.0,,,30242.0,8.9994,O,3.453052677207874
39632961389201305,sv3,dark,STAR,0,t,1479751610841485312,216.27158116099923,33.99679395087293,1.7448572313668764,0.506372,5.034316161292211,8.537174012657776,20.317251,20.374084,20.347605,-10.0,,,39998.0,8.0203,O,3.4458011725902624
39633080662626067,sv1,other,STAR,0,t,900383784154186240,113.0200719002688,40.28288169334274,1.179242174237794,0.342376,2.325775944893113,-4.536369278475882,19.359224,19.269152,19.745052,-10.0,,,30000.0,7.8222,O,3.444289828252547
39627799643816940,main,bright,STAR,0,t,3810088646745787904,169.05174140452314,0.5397495455515854,1.3887726027971534,0.404,-15.32380494753523,-10.022618600918074,19.620405,19.590586,19.652584,-10.0,,,39996.0,8.3027,O,3.437555947517706
39633132084792910,sv3,dark,STAR,0,t,1385160934741315200,241.3464983350844,42.98377257546228,0.8342374459903321,0.243154,-7.905655889441787,3.583383693060397,19.461988,19.33197,19.7408,-10.0,,,30000.0,8.0373,O,3.430901593189222
39628488822493643,main,bright,STAR,0,t,313038450851693952,17.32955625486857,30.5204566591582,1.4630289301561124,0.428592,13.953226355917591,1.8653979017340496,19.841825,19.84411,20.004642,-10.0,,,37866.0,7.7748,O,3.413570318988951
39627823488437387,sv3,dark,STAR,0,t,3835962526168788608,150.38659968594246,1.5162378875368503,1.2038816723953107,0.353556,-9.439992988889683,3.069756400199432,19.308693,19.203207,19.483658,-10.0,,,30000.0,9.0033,O,3.4050664460377162
39627794778424522,main,bright,STAR,0,t,4410721200113372800,239.04788762137588,0.24666912262229,2.171219165209163,0.639172,-6.309246229730119,-15.222630279833426,20.231533,20.677221,18.552908,-10.0,,,39984.0,7.2188,O,3.3969247169919257
39628023309275352,main,dark,STAR,0,t,4455442117586422272,238.5003446795936,9.793881011187947,2.1368213574185195,0.631408,-11.248265264395542,-5.86316527621002,20.274292,20.036715,20.5048,-10.0,,,37754.0,7.3221,O,3.3842164771724774
39633542157697636,main,bright,STAR,0,t,1717140431886128384,190.65999666612848,77.67521930935712,1.0041742548080148,0.297685,7.617441242825844,-6.752186739206176,19.726719,19.538572,19.824461,-10.0,,,30000.0,9.4996,O,3.3732779777550594
39627665245737758,main,bright,STAR,0,t,3188527645458391168,73.17232510799951,-5.110102842995639,1.4550109814997347,0.432345,2.899021327112404,-14.097990825348976,19.803974,19.820026,19.839529,-10.0,,,39601.0,9.0,O,3.3653933351830942
39632986890570179,main,dark,STAR,0,t,1336567743474460416,259.9171349804841,35.229443731740986,1.2505708946277558,0.374822,-1.8752916561850004,23.521392165899023,20.122028,21.07047,18.774977,-10.0,,,39934.0,7.0036,O,3.3364394155832793
39627633813619768,main,bright,STAR,0,t,2632415039454949888,351.7500907547416,-6.487480819792806,1.4697680307251193,0.440623,10.47371372151557,-28.17199477236213,19.889578,19.799297,19.94147,-10.0,,,37337.0,7.548,O,3.335658898253426
39627868820476133,main,bright,STAR,0,t,2682982232050393216,332.95396387011294,3.1569128079953845,1.428878981137287,0.429109,8.958620132542132,1.135043814407926,19.77651,19.80462,19.855885,-10.0,,,35328.0,8.9996,O,3.3298741838024535
39628460972311510,main,bright,STAR,0,t,4584512657995168128,269.0347191273617,29.04440370399164,0.8673397116588266,0.261873,11.101472027903316,9.19454522612096,19.569693,19.549347,19.894655,-10.0,,,30000.0,7.869,O,3.3120623800805222
39627805339685342,main,dark,STAR,0,t,3834355933522424448,148.71524738575445,0.8023776625286254,1.7857287301640052,0.542797,-18.367137885269223,-10.623786352792164,19.843977,19.778414,19.869066,-10.0,,,36323.0,8.1203,O,3.2898647747942698
39627844812281288,main,bright,STAR,0,t,2656318731479377024,341.4319348587932,2.276363565749747,0.6687327716320858,0.203751,10.85903661354947,-0.940344768097188,18.513926,19.50033,17.635443,-10.0,,,30580.0,8.5438,O,3.2821079240449658
39627929092620395,main,bright,STAR,0,t,2708686752323500160,334.14539641631745,5.860133558730225,0.4201195153918043,0.128401,-3.7456832030841807,-11.277675877584786,17.832254,18.335287,17.190332,-10.0,,,30334.0,8.3869,O,3.2719333602682563
39627890555359334,main,bright,STAR,0,t,3707075196180648064,190.21293956756784,4.169604119145489,3.215332651134197,0.987382,-6.96966571815352,-6.553928341192614,20.596695,20.82391,19.548122,-10.0,,,39998.0,7.1494,O,3.2564221862806866
39633453850823558,sv3,dark,STAR,0,t,2161689956706441344,270.11134571858554,65.90281814257882,1.426067171909743,0.438565,-2.223193300400303,1.952948912411272,20.32564,20.429085,20.205347,-10.0,,,34624.0,7.8512,O,3.2516666216176464
39633145095520444,main,bright,STAR,0,t,1585698180474228096,225.1882791319921,43.64365057717668,4.143876820399592,1.276043,-0.002685412706998,7.660956079657689,20.876242,21.249819,19.944391,-10.0,,,35047.0,8.9995,O,3.2474429313115563
39627675236572081,main,bright,STAR,0,t,6914499048477272320,310.320712815015,-4.670195851517961,1.2421901307801997,0.38295,-8.062750571935279,-8.700884089850133,19.54281,19.48482,19.869816,-10.0,,,30000.0,7.7868,O,3.243739733072724
39627976886714746,main,bright,STAR,0,t,1740136614501820416,320.68492910298994,7.765271890285948,2.200782939278952,0.678671,-1.5048159624996336,-15.938590790897676,20.451889,20.916855,19.495102,-10.0,,,39996.0,7.0024,O,3.2427832326398978
39627705624299196,main,bright,STAR,0,t,2672527628817250432,324.522178136502,-3.463716881099155,1.7171855517691743,0.530691,5.148703620195245,-6.520735596762005,19.828236,19.753366,20.161829,-10.0,,,30000.0,8.1318,O,3.2357540485313945
39628472817027507,main,bright,STAR,0,t,2867032064699863168,357.5428507549114,29.561819791827464,1.2364418024368569,0.382259,-2.8341462954455428,-1.537409720481622,19.767351,19.74703,19.980846,-10.0,,,39926.0,8.9994,O,3.234565575792478
39627691531436850,main,bright,STAR,0,t,3636800460247288064,203.3148601110916,-4.049019307703597,1.465368287430033,0.45362,10.86592548664947,-19.248027453888987,19.692154,19.690096,19.65793,-10.0,,,39993.0,8.9909,O,3.2303873008906856
39633277782328886,main,bright,STAR,0,t,993121718737224704,102.88120906120288,51.95785657322789,2.140637174402046,0.664905,3.4408883636474865,-0.5953013866526632,20.31225,20.369589,18.54454,-10.0,,,39990.0,7.41,O,3.2194631930908115
39627619452324226,main,bright,STAR,0,t,3643432267709235072,210.82071963782687,-6.9064358910562405,1.2724073897797958,0.395823,-9.348248339383062,0.541620786139875,19.468996,19.384665,19.80108,-10.0,,,30000.0,8.0413,O,3.2145867970779767
39627654596395179,main,bright,STAR,0,t,3779116709860968960,156.15408580022117,-5.461667162902319,2.7835004304155437,0.866066,-12.783370290075204,-16.471207197385667,19.933554,20.190922,18.198755,-10.0,,,39917.0,7.0304,O,3.2139587865307537
39633235424054769,main,dark,STAR,0,t,990911597286706688,102.09593996401686,49.32333738116365,1.0666022637542922,0.332194,2.363431444624496,-2.498451145552151,19.477947,20.368608,18.629677,-10.0,,,39997.0,7.0077,O,3.2107812415464827
2780981698232323,main,bright,STAR,0,t,2510391616960066688,26.27990001182584,1.236188424004192,1.4917382427640955,0.467103,14.79806572081056,-2.2169403485756725,19.688122,19.710226,19.83696,-10.0,,,33482.0,7.77,O,3.193595936579503
39627908372760793,main,dark,STAR,0,t,3897120901958827520,174.81959343965852,4.932891549701898,1.0766566557093364,0.340104,-12.162362215214284,6.002329204781672,19.08275,18.99687,19.416233,-10.0,,,30000.0,8.2629,O,3.1656689004226246
39633341854517157,main,bright,STAR,0,t,1034750878233042560,125.61462807329464,56.61057138408983,4.932283526519688,1.562106,-15.483763961651809,-9.761314122152143,20.663145,20.654034,18.54514,-10.0,,,39997.0,7.0001,O,3.157457641491479
39627851581886674,main,dark,STAR,0,t,2560371640282726912,24.8656533479803,2.82020472395874,2.2623701822859537,0.719365,-5.713299422135808,-6.60654340470917,20.320803,20.971966,18.993267,-10.0,,,39961.0,7.1107,O,3.144954483865567
39628151730474836,main,dark,STAR,0,t,3888268566340180352,153.3130963502138,15.35844778683149,2.765263619779949,0.882739,-1.7227535426803484,-6.224386942298579,20.605993,20.69816,20.476622,-10.0,,,30000.0,7.002,O,3.1325948210965517
39633251765059755,main,bright,STAR,0,t,835875849268986496,162.48607234648873,50.18594959534266,1.0230268074930051,0.327889,-5.518015973666563,-6.913897077160582,19.339783,19.249292,19.49786,-10.0,,,30000.0,8.0558,O,3.1200400363934295
39627818883090630,main,dark,STAR,0,t,4422872143629721216,235.84917175067216,1.1980886010396326,3.028151039002163,0.977386,11.628406134086273,-11.182388995574076,20.734543,20.924183,19.66483,-10.0,,,32846.0,8.9999,O,3.098214051564237
39627932041220377,main,dark,STAR,0,t,3873462229228111360,150.86246689135285,5.9919160738722015,0.937102934853716,0.303301,1.8320182331199224,-6.1196680439849285,19.111444,19.027544,19.437649,-10.0,,,30000.0,8.1521,O,3.0896796741643318
39627684283680295,main,dark,STAR,0,t,5761683822832277248,130.7471857155533,-4.308730231213479,1.913580179365652,0.620412,0.396339481642454,-7.854535465245753,20.119083,21.291033,18.862785,-10.0,,,31086.0,8.9998,O,3.0843700305049744
39632965839356050,main,bright,STAR,0,t,4031847772562269952,175.78844422076114,34.26857543545496,1.3396778730642906,0.436627,-6.738899675271506,-2.833522486597747,19.776937,19.861734,19.845352,-10.0,,,31728.0,8.0176,O,3.068243313089412
39633396908951169,main,bright,STAR,0,t,2156364510793555584,281.8762155492232,60.753216779703465,1.4454914263771883,0.471637,-1.2737676441518686,11.561668639771405,20.362162,20.388113,18.70218,-10.0,,,39996.0,7.0013,O,3.0648389044480995
39627823639430066,main,dark,STAR,0,t,3807616223052275328,159.29008372065522,1.414301726445069,1.7611852751884112,0.575692,-26.58160511467026,2.334205312234505,20.255308,20.253574,19.886997,-10.0,,,39999.0,8.3794,O,3.059249173496264
39627790496042197,main,dark,STAR,0,t,2651881755384597504,343.84920151460994,0.0561961218190575,1.3374713299722771,0.43837,10.94136690957768,0.9413812071597948,19.749071,19.80381,20.018227,-10.0,,,30000.0,9.1599,O,3.051010173990641
39627916711037424,main,bright,STAR,0,t,1734946404224147072,313.1914919970167,5.206842507168872,1.9854618221857556,0.651703,0.8722515144708483,-10.684017341203251,20.115383,20.687922,18.505726,-10.0,,,39991.0,7.0002,O,3.0465746240016625
39628268151769024,main,bright,STAR,0,t,1214010473725328640,230.09634171514483,20.295865329158357,1.3990619633150978,0.459774,-25.0767502116757,-24.738753040566543,19.870872,19.716288,20.043198,-10.0,,,30000.0,7.6705,O,3.0429340574175523
39628370857691287,main,dark,STAR,0,t,2805026957582411776,11.678415871369154,24.960629329149608,2.431550553243315,0.799302,62.01663410880918,16.60960023067738,20.349657,20.141487,19.885809,-10.0,,,30000.0,7.0002,O,3.0420924171881403
39627672799678658,main,dark,STAR,0,t,3788886832746477952,164.6594221959576,-4.810570908239427,4.331140612800863,1.42581,-47.84698053439273,-8.57764383812745,20.510225,20.892828,20.517803,-10.0,,,30000.0,7.0002,O,3.037670245545243
39628457537178674,main,dark,STAR,0,t,131014854924287104,35.52586616882935,28.970746864616224,2.4511461341281646,0.815181,9.652830270887808,-10.47492492105589,20.359533,20.397282,20.416,-10.0,,,39998.0,8.9994,O,3.006873484696239
39628350599203718,main,bright,STAR,0,t,678460796745027968,128.0096292981823,24.02593843440455,1.413814322332929,0.470856,-5.051108326088681,-4.593402800405036,19.784962,19.84498,19.782656,-10.0,,,32369.0,7.8596,O,3.0026469288549555
39627604981975345,main,dark,STAR,0,t,3195795073719766784,62.28652572202973,-7.559895813251287,3.118842293230563,1.038852,23.821323960711123,-20.691761169390464,20.616299,20.711342,20.089565,-10.0,,,30000.0,7.0,O,3.002200788207139
39627860301844269,main,bright,STAR,0,t,3701319149730238464,184.69336289958423,3.0991648701993157,1.4864101224901831,0.495185,-33.567506621887446,7.951596366228577,19.814823,19.913727,20.07672,-10.0,,,34208.0,7.9371,O,3.0017268747845414
