targetid,survey,program,spectype,zwarn,zcat_primary,source_id,gaia_ra,gaia_dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,param,feh,alphafe,log10micro,teff,logg,tipo_espectral_aprox,parallax_snr
2305843034438326718,main,backup,STAR,0,t,3385822637557815040,100.25769636643427,27.4791303229526,0.7645841732972882,0.04712,7.018286192632241,3.6801639907102888,15.981892,16.43266,15.368735,[nan nan nan nan nan],,,,,,sin_teff,16.226319467259938
2305843021750478514,main,backup,STAR,0,t,1682819902275067520,191.55702460309837,69.09334725537919,0.5718743723453924,0.035244,-4.9915045336316455,-1.2584610814290889,16.209698,16.593338,15.667002,[nan nan nan nan nan],,,,,,sin_teff,16.226148347105674
2305843020794173390,main,backup,STAR,0,t,1554538746792153088,197.80423590713625,48.12840281830683,0.8961514767179795,0.055229,-19.40165629937697,2.1560580900991924,15.387812,15.775314,14.838655,[nan nan nan nan nan],,,,,,sin_teff,16.226103617990177
39633443801269663,sv3,bright,STAR,0,t,2161496756193674368,271.9914665630495,65.0093669900756,0.6458797820154302,0.039806,-0.8218024652535761,-4.172039053048451,16.68104,17.07183,16.111998,[nan nan nan nan nan],,,,,,sin_teff,16.225689142727983
39627925644906075,main,bright,STAR,0,t,3092839489249956736,127.94379253668234,5.743154725003761,0.7905027747141067,0.048723,-6.619797447008487,0.5347736584715661,16.220985,16.618948,15.653062,[nan nan nan nan nan],,,,,,sin_teff,16.2244273692939
39628471147692103,main,bright,STAR,0,t,1318547817343213568,243.3464112591357,29.59950064926592,0.7014130073697733,0.043245,-16.779210329287213,8.551840343191,16.452227,16.8791,15.859964,[nan nan nan nan nan],,,,,,sin_teff,16.219516877552856
39632946713334469,main,bright,STAR,0,t,1325759411030316160,247.761138624192,33.15151994916344,0.5518213766969847,0.034032,-6.908156940959899,-5.5556545472861485,16.207056,16.617025,15.62205,[nan nan nan nan nan],,,,,,sin_teff,16.214779522125784
2305843027836406138,main,backup,STAR,0,t,2500011269416369792,36.07870474972341,-0.6305043044377067,1.108502241284346,0.068372,2.360829874853347,-12.373426441971423,16.45824,17.041092,15.732093,[nan nan nan nan nan],,,,,,sin_teff,16.212809940975045
39627855000242772,sv1,other,STAR,0,t,4421811016125541376,228.6152218763085,2.7201205666883297,1.626386535820888,0.100346,9.071007784704408,4.048716108280259,17.4254,18.417854,16.442514,[nan nan nan nan nan],,,,,,sin_teff,16.207786417205348
39633025457195571,main,bright,STAR,0,t,1295023864850287488,225.2796348079877,37.27417618539123,1.769752791609403,0.109211,-10.989067513317496,8.322550872176762,18.215887,19.616993,17.069107,[nan nan nan nan nan],,,,,,sin_teff,16.204895034469082
